latest.student.size,latest.cost.tuition.in_state,school.name,school.state,school.city
3195.0,44200.0,Abilene Christian University,TX,Abilene
3342.0,1906.0,Alvin Community College,TX,Alvin
7399.0,2136.0,Amarillo College,TX,Amarillo
114.0,,Amberton University,TX,Garland
2370.0,3430.0,Angelina College,TX,Lufkin
5643.0,8460.0,Angelo State University,TX,San Angelo
284.0,20830.0,Arlington Baptist University,TX,Arlington
562.0,,Arlington Career Institute,TX,Arlington
1165.0,48680.0,Austin College,TX,Sherman
30189.0,2550.0,Austin Community College District,TX,Austin
,,Austin Presbyterian Theological Seminary,TX,Austin
31.0,,Baldwin Beauty School-South Austin,TX,Austin
575.0,13760.0,Baptist Health System School of Health Professions,TX,San Antonio
39.0,10050.0,Baptist Missionary Association Theological Seminary,TX,Jacksonville
,,Baylor College of Medicine,TX,Houston
14785.0,58100.0,Baylor University,TX,Waco
1958.0,2916.0,Coastal Bend College,TX,Beeville
15535.0,4890.0,Blinn College District,TX,Brenham
250.0,15025.0,Remington College-Dallas Campus,TX,Dallas
200.0,16324.0,Vet Tech Institute of Houston,TX,Houston
2622.0,2388.0,Brazosport College,TX,Lake Jackson
6247.0,3750.0,Central Texas College,TX,Killeen
69.0,,Charles and Sues School of Hair Design,TX,Bryan
1620.0,4710.0,Cisco College,TX,Cisco
1520.0,3720.0,Clarendon College,TX,Clarendon
1185.0,23500.0,Concordia University Texas,TX,Austin
55.0,,BK Cosmo College of Cosmetology,TX,Kerrville
5863.0,3600.0,North Central Texas College,TX,Gainesville
8034.0,9748.0,Texas A & M University-Corpus Christi,TX,Corpus Christi
328.0,,Paul Mitchell the School-Dallas,TX,Carrollton
2403.0,40190.0,Dallas Baptist University,TX,Dallas
224.0,21730.0,Dallas Christian College,TX,Dallas
454.0,17640.0,Dallas Institute of Funeral Service,TX,Dallas
,,Dallas Theological Seminary,TX,Dallas
1403.0,53930.0,University of Dallas,TX,Irving
9501.0,3440.0,Del Mar College,TX,Corpus Christi
1352.0,30680.0,East Texas Baptist University,TX,Marshall
1982.0,8349.0,Texas A&M University-Texarkana,TX,Texarkana
9912.0,10026.0,East Texas A&M University,TX,Commerce
43869.0,2730.0,Dallas College,TX,Dallas
24214.0,4080.0,El Paso Community College,TX,El Paso
600.0,,Western Technical College,TX,El Paso
1206.0,,Western Technical College,TX,El Paso
,,Episcopal Theological Seminary of the Southwest,TX,Austin
14.0,,Exposito School of Hair Design,TX,Amarillo
623.0,3712.0,Frank Phillips College,TX,Borger
1528.0,2726.0,Galveston College,TX,Galveston
8.0,,Graham's Barber College,TX,DALLAS
3075.0,3052.0,Grayson College,TX,Denison
769.0,,Hallmark University,TX,San Antonio
1283.0,32960.0,Hardin-Simmons University,TX,Abilene
5655.0,2640.0,Trinity Valley Community College,TX,Athens
2253.0,3570.0,Hill College,TX,Hillsboro
2886.0,39430.0,Houston Christian University,TX,Houston
6078.0,7770.0,University of Houston-Clear Lake,TX,Houston
40503.0,2040.0,Houston Community College,TX,Houston
12555.0,7708.0,University of Houston-Downtown,TX,Houston
2513.0,7149.0,University of Houston-Victoria,TX,Victoria
38380.0,9717.0,University of Houston,TX,Houston
1611.0,2766.0,Howard College,TX,Big Spring
713.0,34982.0,Howard Payne University,TX,Brownwood
1005.0,26709.0,Huston-Tillotson University,TX,Austin
4440.0,37090.0,University of the Incarnate Word,TX,San Antonio
157.0,8850.0,Jacksonville College-Main Campus,TX,Jacksonville
577.0,11720.0,Jarvis Christian University,TX,Hawkins
70.0,20521.0,KD Conservatory College of Film and Dramatic Arts,TX,Dallas
3215.0,2160.0,Kilgore College,TX,Kilgore
8150.0,8905.0,Lamar University,TX,Beaumont
1391.0,3540.0,Lamar State College-Orange,TX,Orange
1508.0,1770.0,Lamar State College-Port Arthur,TX,Port Arthur
5818.0,3300.0,Laredo College,TX,Laredo
6667.0,7894.0,Texas A & M International University,TX,Laredo
5116.0,2520.0,Lee College,TX,Baytown
1468.0,37160.0,LeTourneau University,TX,Longview
1539.0,,Lincoln College of Technology-Grand Prairie,TX,Grand Prairie
1252.0,28540.0,Lubbock Christian University,TX,Lubbock
3368.0,2310.0,College of the Mainland,TX,Texas City
2759.0,32020.0,University of Mary Hardin-Baylor,TX,Belton
5668.0,3660.0,McLennan Community College,TX,Waco
1176.0,32340.0,McMurry University,TX,Abilene
360.0,,Covenant School of Nursing and Allied Health,TX,Lubbock
5542.0,3180.0,Midland College,TX,Midland
4087.0,10580.0,Midwestern State University,TX,Wichita Falls
73.0,,William Edge Institute,TX,New Braunfels
252.0,17692.0,Wade College,TX,Dallas
746.0,,Southern Careers Institute-Austin,TX,Austin
44.0,,Tint School of Makeup & Cosmetology,TX,Irving
3781.0,3008.0,Navarro College,TX,Corsicana
45188.0,3330.0,Lone Star College System,TX,The Woodlands
34341.0,11309.0,University of North Texas,TX,Denton
1973.0,2980.0,Northeast Texas Community College,TX,Mount Pleasant
,,Oblate School of Theology,TX,San Antonio
192.0,,Ocean Corporation,TX,Houston
4654.0,2688.0,Odessa College,TX,Odessa
374.0,,Ogle School Hair Skin Nails-Arlington,TX,Arlington
500.0,,Ogle School Hair Skin Nails-Ft Worth,TX,Fort Worth
1066.0,32106.0,Our Lady of the Lake University,TX,San Antonio
28666.0,9987.0,The University of Texas Rio Grande Valley,TX,Edinburg
3372.0,3148.0,Texas Southmost College,TX,Brownsville
1388.0,2352.0,Panola College,TX,Carthage
2204.0,2700.0,Paris Junior College,TX,Paris
620.0,13498.0,Paul Quinn College,TX,Dallas
8877.0,11299.0,Prairie View A & M University,TX,Prairie View
971.0,2766.0,Ranger College,TX,Ranger
360.0,16757.0,Aviation Institute of Maintenance-Houston,TX,Houston
4776.0,64144.0,Rice University,TX,Houston
2493.0,51384.0,Saint Edward's University,TX,Austin
12914.0,3412.0,St Philip's College,TX,San Antonio
3220.0,34634.0,University of St Thomas,TX,Houston
17743.0,9228.0,Sam Houston State University,TX,Huntsville
16416.0,3412.0,San Antonio College,TX,San Antonio
22969.0,2490.0,San Jacinto Community College,TX,Pasadena
1053.0,39266.0,Schreiner University,TX,Kerrville
38.0,,Seguin Beauty School-Seguin,TX,Seguin
1951.0,37434.0,St. Mary's University,TX,San Antonio
